Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,7500.70,7754.89,5826.41,6404.00,6404.00,130214179584
2018-05-01,9251.47,9964.50,7090.68,7494.17,7494.17,197611709696
2018-04-01,7003.06,9745.32,6526.87,9240.55,9240.55,196550010624
2018-03-01,10385.00,11704.10,6683.93,6973.53,6973.53,193751709184
2018-02-01,10237.30,11958.50,6048.26,10397.90,10397.90,229717780480
2018-01-01,14112.20,17712.40,9402.29,10221.10,10221.10,416247858176
2017-12-01,10198.60,20089.00,9694.65,14156.40,14156.40,410336495104
2017-11-01,6440.97,11517.40,5519.01,10233.60,10233.60,140735010304
2017-10-01,4341.05,6470.43,4164.05,6468.40,6468.40,58009357952
2017-09-01,4701.76,4975.04,2946.62,4338.71,4338.71,55700949056
2017-08-01,2871.30,4736.05,2668.59,4703.39,4703.39,63548016640
2017-07-01,2492.60,2916.14,1843.03,2875.34,2875.34,32619956992
2017-06-01,2288.33,2999.91,2212.96,2480.84,2480.84,44478140928
2017-05-01,1348.30,2763.71,1348.30,2286.41,2286.41,34261856864
2017-04-01,1071.71,1347.91,1061.09,1347.89,1347.89,9757448112
2017-03-01,1180.04,1280.31,903.71,1071.79,1071.79,10872455960
2017-02-01,970.94,1200.39,946.69,1179.97,1179.97,4282761200
2017-01-01,963.66,1191.10,755.76,970.40,970.40,5143971692
2016-12-01,746.05,979.40,746.05,963.74,963.74,3556763800
2016-11-01,701.34,756.24,678.16,745.69,745.69,2635773092
2016-10-01,609.93,720.40,609.48,700.97,700.97,2115443796
2016-09-01,575.55,628.82,570.81,609.73,609.73,2004401400
2016-08-01,624.60,626.12,531.33,575.47,575.47,2686220180
2016-07-01,672.52,704.97,611.83,624.68,624.68,3454186204
2016-06-01,531.11,777.99,525.64,673.34,673.34,4749702740
2016-05-01,448.48,553.96,437.39,531.39,531.39,2234432796
2016-04-01,416.76,467.96,415.83,448.32,448.32,1811475204
2016-03-01,437.92,439.65,394.04,416.73,416.73,2332852776
2016-02-01,369.35,448.05,367.96,437.70,437.70,1876238692
2016-01-01,430.72,462.93,354.91,368.77,368.77,1990880304
2015-12-01,377.41,469.10,349.46,430.57,430.57,2096250000
2015-11-01,315.01,495.56,301.00,377.32,377.32,2177623396
2015-10-01,236.00,334.17,235.62,314.17,314.17,953279500
2015-09-01,230.26,259.18,225.12,236.06,236.06,603623900
2015-08-01,284.69,285.71,199.57,230.06,230.06,905192300
2015-07-01,263.35,314.39,253.51,284.65,284.65,999892200
2015-06-01,230.23,267.87,221.30,263.07,263.07,629780200
2015-05-01,235.94,247.80,228.57,230.19,230.19,568122600
2015-04-01,244.22,261.80,214.87,236.15,236.15,672338700
2015-03-01,254.28,300.04,236.51,244.22,244.22,959098300
2015-02-01,216.87,265.61,212.01,254.26,254.26,711518700
2015-01-01,320.43,320.43,171.51,217.46,217.46,1098811912
2014-12-01,378.25,384.04,304.23,320.19,320.19,553102310
2014-11-01,338.65,457.09,320.63,378.05,378.05,659733360
2014-10-01,387.43,411.70,289.30,338.32,338.32,902994450
2014-09-01,465.86,468.17,372.24,386.94,386.94,410881000
